Perusahaan,DAR,DER
ADHI,0.813,4.343
DGIK,0.498,0.991
NRCA,0.504,1.017
PTPP,0.707,2.415
TOTL,0.637,1.751
WIKA,0.691,2.232
WSKT,0.762,3.210
JKON,0.453,0.827
CSIS,0.563,1.289
IDPR,0.393,0.649
TOPS,0.570,1.327
WEGE,0.603,1.520
PBSA,0.256,0.344
SRKN,0.559,1.268
SSIA,0.447,0.807
TAMA,0.836,5.097
